,Bacteroidales,Oscillospirales,RF32,Verrucomicrobiales,Actinomycetales,Lactobacillales,Enterobacterales,Veillonellales,Brachyspirales,Haloplasmatales,Lachnospirales,Clostridiales,Erysipelotrichales,Acidaminococcales
MB-4580,0.0,0.0,0.0,0.0,0.189758966492394,0.0,0.4383620060383579,0.0,0.0,0.0,0.3718790274692479,0.0,0.0,0.0
MB-2142,0.2759235106413754,0.0,0.0,0.0,0.0,0.4213199476772336,0.0,0.0,0.3027565416813908,0.0,0.0,0.0,0.0,0.0
MB-7565,0.4013505059967794,0.2247074312224065,0.0,0.0,0.0,0.0,0.0,0.0,0.072523485459723,0.3014185773210909,0.0,0.0,0.0,0.0
MB-6987,0.3771407114073197,0.2578483322808999,0.0,0.0,0.1707484525112985,0.1942625038004817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-5775,0.274803830742114,0.5932471046609745,0.0,0.0,0.0,0.0,0.0,0.0264972111565985,0.0,0.1054518534403128,0.0,0.0,0.0,0.0
MB-2596,0.0,0.40270534491410737,0.0,0.0,0.0,0.138434167638015,0.0,0.0521264869644471,0.0,0.1694428006182585,0.0,0.0,0.0,0.2372911998651716
MB-9953,0.0,0.2818841426869733,0.0,0.0,0.0453180423730023,0.0,0.4184154822875764,0.0,0.2543823326524479,0.0,0.0,0.0,0.0,0.0
MB-8658,0.225598632115137,0.165987279629401,0.0069602170869024,0.0,0.0,0.2868829018055855,0.0955209692951049,0.0,0.0,0.0,0.0,0.0,0.0,0.2190500000678689
MB-7225,0.3012837089906804,0.1240978939705931,0.0,0.2341041835510992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3373498528932827,0.0031643605943443,0.0
MB-1486,0.0,0.0,0.0,0.1465271414325843,0.0,0.09174707021611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7617257883513057
MB-1505,0.4888115969642923,0.1868937395639907,0.064426119545771,0.0,0.094902665464906,0.0,0.0974777714057261,0.0,0.0,0.0,0.0,0.0674881070553134,0.0,0.0
MB-8183,0.786369258197838,0.0,0.2136307418021619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
