,Bacteroidota,Bacillota_A,Pseudomonadota,Verrucomicrobiota,Actinomycetota,Bacillota,Bacillota_C,Spirochaetota
MB-2596,0.0,0.40270534491410737,0.0,0.0,0.0,0.30787696825627353,0.2894176868296187,0.0
MB-9953,0.0,0.2818841426869733,0.4184154822875764,0.0,0.0453180423730023,0.0,0.0,0.2543823326524479
MB-8658,0.225598632115137,0.165987279629401,0.10248118638200729,0.0,0.0,0.2868829018055855,0.2190500000678689,0.0
MB-7225,0.3012837089906804,0.4614477468638758,0.0,0.2341041835510992,0.0,0.0031643605943443,0.0,0.0
MB-1486,0.0,0.0,0.0,0.1465271414325843,0.0,0.09174707021611,0.7617257883513057,0.0
MB-1505,0.4888115969642923,0.2543818466193041,0.1619038909514971,0.0,0.094902665464906,0.0,0.0,0.0
MB-8183,0.786369258197838,0.0,0.2136307418021619,0.0,0.0,0.0,0.0,0.0
MB-5883,0.1678880042660946,0.32612099787139925,0.0,0.0,0.5059909978625059,0.0,0.0,0.0
MB-1098,0.2815138417928147,0.5269593828720318,0.1915267753351535,0.0,0.0,0.0,0.0,0.0
MB-9403,0.3186354262289909,0.227594294085022,0.0,0.2593484390568732,0.0,0.1944218406291136,0.0,0.0
MB-2211,0.0,0.1304304481361374,0.2853462725206563,0.0,0.2711953599183822,0.0,0.3130279194248239,0.0
MB-6671,0.0,0.0,0.0,0.0,0.0,0.0348489067932865,0.9651510932067136,0.0
MB-6868,0.1957020322632395,0.4799419057233899,0.0,0.0,0.0,0.0,0.0,0.3243560620133704
MB-8396,0.4759137821312408,0.45496318582256,0.0,0.0,0.0,0.0691230320461989,0.0,0.0
MB-3073,0.4140226995459285,0.0,0.0,0.0,0.0,0.5859773004540716,0.0,0.0
MB-2966,0.0,0.5189085167416416,0.0,0.0,0.4810914832583582,0.0,0.0,0.0
MB-5143,0.4322992059048136,0.099133803744784,0.0,0.0,0.0,0.0,0.0,0.4685669903504023
MB-3109,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-7031,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-7558,0.0805418043198562,0.0,0.0,0.2554010354993666,0.3093655830351144,0.3546915771456626,0.0,0.0
MB-6338,0.0,0.348963227893093,0.2983200503473093,0.0,0.0,0.0,0.3527167217595978,0.0
MB-9155,0.3974806117171915,0.5152656891661858,0.0,0.0,0.0,0.0872536991166228,0.0,0.0
MB-4261,0.3072078419684512,0.6927921580315486,0.0,0.0,0.0,0.0,0.0,0.0
MB-7907,0.1181907576482323,0.1988208705331026,0.4149701768930669,0.0,0.0,0.2680181949255982,0.0,0.0
